Collect Date,Collection Device,DOC,DON,NOX,TN,NH4,TP,FRP,TSS
2/10/2004,Autosampler (discrete),,,,3.1,,0.009,,1
8/10/2004,Autosampler (discrete),,,,2.8,,0.01,,1
3/01/2006,Autosampler (discrete),,,,0.43,,0.013,,1
3/02/2005,Autosampler (discrete),,,,1.6,,0.015,,1
15/05/2005,Autosampler (discrete),,,,2.3,,0.017,,1
10/09/2006,Autosampler (discrete),,,,1.4,,0.018,,1
3/02/2007,Autosampler (discrete),,,,0.54,,0.042,,1
10/04/2007,Autosampler (discrete),,,,0.4,,0.043,,1
20/01/2007,Autosampler (discrete),,,,0.53,,0.048,,1
24/02/2007,Autosampler (discrete),,,,0.54,,0.048,,1
12/03/2007,Autosampler (discrete),,,,0.81,,0.049,,1
26/02/2007,Autosampler (discrete),,,,0.59,,0.067,,1
23/01/2006,Autosampler (discrete),,,,1.9,,0.51,,1
17/02/2005,Autosampler (discrete),,,,1.8,,,,1
3/04/2006,Autosampler (discrete),,,,0.18,,0.01,,2
27/12/2005,Autosampler (discrete),,,,0.22,,0.011,,2
13/12/2005,Autosampler (discrete),,,,0.3,,0.011,,2
11/04/2006,Autosampler (discrete),,,,0.15,,0.013,,2
10/01/2006,Autosampler (discrete),,,,0.4,,0.013,,2
27/01/2005,Autosampler (discrete),,,,1.2,,0.013,,2
15/10/2004,Autosampler (discrete),,,,2.2,,0.013,,2
24/01/2005,Autosampler (discrete),,,,0.99,,0.014,,2
6/12/2005,Autosampler (discrete),,,,0.31,,0.015,,2
14/03/2006,Autosampler (discrete),,,,0.35,,0.015,,2
20/12/2005,Autosampler (discrete),,,,0.33,,0.016,,2
28/12/2004,Autosampler (discrete),,,,2.6,,0.017,,2
27/04/2005,Autosampler (discrete),,,,0.5,,0.018,,2
29/10/2005,Autosampler (discrete),,,,0.48,,0.019,,2
4/11/2005,Autosampler (discrete),,,,0.37,,0.021,,2
9/03/2006,Autosampler (discrete),,,,0.4,,0.022,,2
26/04/2007,Autosampler (discrete),,,,0.52,,0.022,,2
14/07/2005,Autosampler (discrete),,,,0.89,,0.026,,2
15/05/2007,Autosampler (discrete),,,,2.2,,0.026,,2
20/02/2006,Autosampler (discrete),,,,0.47,,0.027,,2
17/03/2005,Autosampler (discrete),,,,1,,0.027,,2
21/10/2006,Autosampler (discrete),,,,1,,0.028,,2
3/08/2006,Autosampler (discrete),,,,0.79,,0.036,,2
6/08/2004,Autosampler (discrete),,,,1.2,,0.037,,2
7/06/2006,Autosampler (discrete),,,,1.3,,0.037,,2
14/04/2007,Autosampler (discrete),,,,0.44,,0.04,,2
6/01/2007,Autosampler (discrete),,,,0.67,,0.047,,2
29/01/2007,Autosampler (discrete),,,,0.56,,0.048,,2
17/03/2007,Autosampler (discrete),,,,0.75,,0.053,,2
